;;Company Info;;KEY FINANCIALS;;;;;
Rank;Company Name;Number of Employees;"Change in 
Rank";"Revenues
($millions)";"Revenue 
Change";"Profits
($millions)";"Profit 
Change";"Assets
($millions)";"Market Value 
As of 3/31/20 ($m)"
1;Walmart;2.200.000;-;523.964 US$;1,9%;US$14.881,0 ;123,1%;236.495 US$;321.803 US$
2;Amazon.com;798.000;3 ;280.522 US$;20,5%;US$11.588,0 ;15,0%;225.248 US$;970.680 US$
3;Exxon Mobil;74.900;-1 ;264.938 US$;-8,7%;US$14.340,0 ;-31,2%;362.597 US$;160.696 US$
4;Apple;137.000;-1 ;260.174 US$;-2,0%;US$55.256,0 ;-7,2%;338.516 US$;1.112.641 US$
5;CVS Health;290.000;3 ;256.776 US$;32,0%;US$6.634,0 ;-;222.449 US$;77.376 US$
6;Berkshire Hathaway;391.500;-2 ;254.616 US$;2,7%;US$81.417,0 ;1924,8%;817.729 US$;442.897 US$
7;UnitedHealth Group;325.000;-1 ;242.155 US$;7,0%;US$13.839,0 ;15,5%;173.889 US$;236.555 US$
8;McKesson;70.000;-1 ;214.319 US$;2,9%;US$34,0 ;-49,3%;59.672 US$;21.845 US$
9;AT&T;247.800;-;181.193 US$;6,1%;US$13.903,0 ;-28,2%;551.669 US$;209.388 US$
10;AmerisourceBergen;21.500;-;179.589 US$;6,9%;US$855,4 ;-48,4%;39.172 US$;18.221 US$
11;Alphabet;118.899;4 ;161.857 US$;18,3%;US$34.343,0 ;11,7%;275.909 US$;798.905 US$
12;Ford Motor;190.000;-;155.900 US$;-2,8%;US$47,0 ;-98,7%;258.537 US$;19.151 US$
13;Cigna;73.700;52 ;153.566 US$;215,7%;US$5.104,0 ;93,6%;155.774 US$;65.897 US$
14;Costco Wholesale;201.500;-;152.703 US$;7,9%;US$3.659,0 ;16,8%;45.400 US$;125.908 US$
15;Chevron;48.200;-4 ;146.516 US$;-11,9%;US$2.924,0 ;-80,3%;237.428 US$;136.176 US$
16;Cardinal Health;49.500;-;145.534 US$;6,4%;US$1.363,0 ;432,4%;40.963 US$;13.988 US$
17;JPMorgan Chase;256.981;1 ;142.422 US$;8,4%;US$36.431,0 ;12,2%;2.687.379 US$;276.750 US$
18;General Motors;164.000;-5 ;137.237 US$;-6,7%;US$6.732,0 ;-16,0%;228.037 US$;29.695 US$
19;Walgreens Boots Alliance;287.000;-2 ;136.866 US$;4,1%;US$3.982,0 ;-20,7%;67.598 US$;40.528 US$
20;Verizon Communications;135.000;-1 ;131.868 US$;0,8%;US$19.265,0 ;24,1%;291.727 US$;222.220 US$
21;Microsoft;144.000;5 ;125.843 US$;14,0%;US$39.240,0 ;136,8%;286.556 US$;1.199.550 US$
22;Marathon Petroleum;60.910;9 ;124.813 US$;28,5%;US$2.637,0 ;-5,1%;98.556 US$;15.353 US$
23;Kroger;435.000;-3 ;122.286 US$;0,9%;US$1.659,0 ;-46,7%;45.256 US$;24.114 US$
24;Fannie Mae;7.500;-2 ;120.304 US$;0,2%;US$14.160,0 ;-11,3%;3.503.319 US$;1.841 US$
25;Bank of America;208.131;-;113.589 US$;2,7%;US$27.430,0 ;-2,5%;2.434.079 US$;185.227 US$
26;Home Depot;415.700;1 ;110.225 US$;1,9%;US$11.242,0 ;1,1%;51.236 US$;200.665 US$
27;Phillips 66;14.500;-4 ;109.559 US$;-4,1%;US$3.076,0 ;-45,0%;58.720 US$;23.490 US$
28;Comcast;190.000;4 ;108.942 US$;15,3%;US$13.057,0 ;11,3%;263.414 US$;156.533 US$
29;Anthem;70.600;4 ;104.213 US$;13,1%;US$4.807,0 ;28,2%;77.453 US$;57.245 US$
30;Wells Fargo;259.800;-1 ;103.915 US$;2,8%;US$19.549,0 ;-12,7%;1.927.555 US$;117.366 US$
31;Citigroup;200.000;-1 ;103.449 US$;6,5%;US$19.401,0 ;7,5%;1.951.158 US$;88.377 US$
32;Valero Energy;10.222;-8 ;102.729 US$;-7,8%;US$2.422,0 ;-22,4%;53.864 US$;18.532 US$
33;General Electric;205.000;-12 ;95.214 US$;-20,8%;-US$4.979,0 ;-;266.048 US$;69.406 US$
34;Dell Technologies;165.000;-;92.154 US$;1,7%;US$4.616,0 ;-;118.861 US$;29.246 US$
35;Johnson & Johnson;132.200;2 ;82.059 US$;0,6%;US$15.119,0 ;-1,2%;157.728 US$;345.705 US$
36;State Farm Insurance;57.672;-;79.395 US$;-2,9%;US$5.592,7 ;-36,4%;294.823 US$;-
37;Target;368.000;2 ;78.112 US$;3,7%;US$3.281,0 ;11,7%;42.779 US$;46.574 US$
38;IBM;383.800;-;77.147 US$;-3,1%;US$9.431,0 ;8,1%;152.186 US$;98.551 US$
39;Raytheon Technologies;243.200;7 ;77.046 US$;15,9%;US$5.537,0 ;5,1%;139.716 US$;81.705 US$
40;Boeing;161.100;-12 ;76.559 US$;-24,3%;-US$636,0 ;-106,1%;133.625 US$;84.149 US$
41;Freddie Mac;6.892;-1 ;75.125 US$;2,1%;US$7.214,0 ;-21,9%;2.203.623 US$;909 US$
42;Centene;56.600;9 ;74.639 US$;24,2%;US$1.321,0 ;46,8%;40.994 US$;34.862 US$
43;United Parcel Service;377.640;-2 ;74.094 US$;3,1%;US$4.440,0 ;-7,3%;57.857 US$;80.196 US$
44;Lowe's;260.000;-2 ;72.148 US$;1,2%;US$4.281,0 ;85,0%;39.471 US$;64.963 US$
45;Intel;110.800;-2 ;71.965 US$;1,6%;US$21.048,0 ;-;136.524 US$;231.662 US$
46;Facebook;44.942;11 ;70.697 US$;26,6%;US$18.485,0 ;-16,4%;133.376 US$;475.455 US$
47;FedEx;389.500;-;69.693 US$;6,5%;US$540,0 ;-88,2%;54.403 US$;31.679 US$
48;MetLife;49.000;-4 ;69.620 US$;2,5%;US$5.899,0 ;15,1%;740.463 US$;27.997 US$
49;Walt Disney;223.000;4 ;69.570 US$;17,1%;US$11.054,0 ;-12,3%;193.984 US$;174.405 US$
50;Procter & Gamble;97.000;-5 ;67.684 US$;1,3%;US$3.897,0 ;-60,0%;115.095 US$;271.640 US$
51;PepsiCo;267.000;-3 ;67.161 US$;3,9%;US$7.314,0 ;-41,6%;78.547 US$;166.848 US$
52;Humana;46.000;4 ;64.888 US$;14,0%;US$2.707,0 ;60,8%;29.074 US$;41.490 US$
53;Prudential Financial;51.511;-3 ;64.807 US$;2,9%;US$4.186,0 ;2,7%;896.552 US$;20.650 US$
54;Archer Daniels Midland;38.100;-5 ;64.656 US$;0,5%;US$1.379,0 ;-23,8%;43.997 US$;19.603 US$
55;Albertsons;267.000;-3 ;60.535 US$;1,0%;US$131,1 ;183,2%;20.777 US$;-
56;Sysco;69.000;-2 ;60.114 US$;2,4%;US$1.674,3 ;17,0%;17.967 US$;23.203 US$
57;Lockheed Martin;110.000;3 ;59.812 US$;11,3%;US$6.230,0 ;23,5%;47.528 US$;95.539 US$
58;HP;56.000;-3 ;58.756 US$;0,5%;US$3.152,0 ;-40,8%;33.467 US$;24.821 US$
59;Energy Transfer;12.812;-;54.213 US$;-0,4%;US$3.592,0 ;112,0%;98.880 US$;12.374 US$
60;Goldman Sachs Group;38.300;2 ;53.922 US$;2,7%;US$8.466,0 ;-19,1%;992.968 US$;55.417 US$
61;Morgan Stanley;60.431;2 ;53.823 US$;7,2%;US$9.042,0 ;3,4%;895.429 US$;52.102 US$
62;Caterpillar;102.300;-4 ;53.800 US$;-1,7%;US$6.093,0 ;-0,9%;78.453 US$;63.832 US$
63;Cisco Systems;75.900;1 ;51.904 US$;5,2%;US$11.621,0 ;10464,5%;97.793 US$;166.709 US$
64;Pfizer;88.300;-3 ;51.750 US$;-3,5%;US$16.273,0 ;45,9%;167.489 US$;181.075 US$
65;HCA Healthcare;245.000;2 ;51.336 US$;10,0%;US$3.505,0 ;-7,4%;45.058 US$;30.411 US$
66;AIG;46.000;-;49.746 US$;5,0%;US$3.348,0 ;-;525.064 US$;20.886 US$
67;American Express;64.500;5 ;47.020 US$;8,6%;US$6.759,0 ;-2,3%;198.321 US$;68.983 US$
68;Delta Air Lines;91.224;1 ;47.007 US$;5,8%;US$4.767,0 ;21,1%;64.532 US$;18.262 US$
69;Merck;71.000;7 ;46.840 US$;10,7%;US$9.843,0 ;58,2%;84.397 US$;195.141 US$
70;American Airlines Group;133.700;-2 ;45.768 US$;2,8%;US$1.686,0 ;19,4%;59.995 US$;5.194 US$
71;Charter Communications;95.100;-1 ;45.764 US$;4,9%;US$1.668,0 ;35,6%;148.188 US$;111.924 US$
72;Allstate;46.035;10 ;44.675 US$;12,2%;US$4.847,0 ;115,2%;119.950 US$;29.071 US$
73;New York Life Insurance;11.519;-2 ;44.117 US$;1,6%;US$1.003,8 ;14,1%;330.806 US$;-
74;Nationwide;28.114;-1 ;43.982 US$;1,6%;US$829,7 ;61,9%;239.540 US$;-
75;Best Buy;125.000;-1 ;43.638 US$;1,8%;US$1.541,0 ;5,3%;15.591 US$;14.647 US$
76;United Airlines Holdings;96.000;2 ;43.259 US$;4,7%;US$3.009,0 ;41,3%;52.611 US$;7.823 US$
77;Liberty Mutual Insurance Group;45.000;-2 ;43.228 US$;1,3%;US$1.044,0 ;-51,7%;133.644 US$;-
78;Dow;36.500;-;42.951 US$;-;-US$1.359,0 ;-;60.524 US$;21.716 US$
79;Tyson Foods;141.000;1 ;42.405 US$;5,9%;US$2.022,0 ;-33,1%;33.097 US$;21.125 US$
80;TJX;286.000;5 ;41.717 US$;7,0%;US$3.272,2 ;6,9%;24.145 US$;57.262 US$
81;TIAA;16.533;-2 ;40.454 US$;-1,5%;US$2.460,1 ;57,6%;615.042 US$;-
82;Oracle;136.000;-1 ;39.506 US$;-0,8%;US$11.083,0 ;189,8%;108.709 US$;152.413 US$
83;General Dynamics;102.900;9 ;39.350 US$;8,7%;US$3.484,0 ;4,2%;48.841 US$;38.398 US$
84;Deere;73.489;3 ;39.258 US$;5,1%;US$3.253,0 ;37,4%;73.011 US$;43.330 US$
85;Nike;76.700;5 ;39.117 US$;7,5%;US$4.029,0 ;108,4%;23.717 US$;128.857 US$
86;Progressive;41.571;13 ;39.022 US$;22,0%;US$3.970,3 ;51,8%;54.895 US$;43.218 US$
87;Publix Super Markets;207.000;4 ;38.463 US$;5,7%;US$3.005,4 ;26,2%;24.507 US$;-
88;Coca-Cola;86.200;12 ;37.266 US$;17,0%;US$8.920,0 ;38,6%;86.381 US$;189.983 US$
89;Massachusetts Mutual Life Insurance;9.896;-5 ;37.253 US$;-5,1%;US$3.700,7 ;830,1%;290.731 US$;-
90;Tech Data;15.000;-2 ;36.998 US$;-0,6%;US$374,5 ;10,0%;13.269 US$;4.645 US$
91;World Fuel Services;5.500;-8 ;36.819 US$;-7,4%;US$178,9 ;40,1%;5.992 US$;1.647 US$
92;Honeywell International;113.000;-15 ;36.709 US$;-12,2%;US$6.143,0 ;-9,2%;58.679 US$;94.628 US$
93;ConocoPhillips;10.400;-7 ;36.670 US$;-5,3%;US$7.189,0 ;14,9%;70.514 US$;33.167 US$
94;USAA;35.076;7 ;35.617 US$;13,5%;US$4.006,3 ;74,8%;173.733 US$;-
95;Exelon;32.713;-2 ;34.438 US$;-4,3%;US$2.936,0 ;46,1%;124.977 US$;35.850 US$
96;Northrop Grumman;90.000;12 ;33.841 US$;12,4%;US$2.248,0 ;-30,4%;41.089 US$;50.719 US$
97;Capital One Financial;51.900;1 ;33.766 US$;4,3%;US$5.546,0 ;-7,8%;390.365 US$;23.063 US$
98;Plains GP Holdings;5.000;-4 ;33.669 US$;-1,1%;US$331,0 ;-0,9%;29.969 US$;1.022 US$
99;AbbVie;30.000;-3 ;33.266 US$;1,6%;US$7.882,0 ;38,6%;89.115 US$;112.508 US$
100;StoneX Group;2.012;12 ;32.897 US$;19,1%;US$85,1 ;53,3%;9.936 US$;700 US$
101;Enterprise Products Partners;7.300;-12 ;32.789 US$;-10,3%;US$4.591,3 ;10,0%;61.733 US$;31.306 US$
102;Northwestern Mutual;5.964;9 ;32.294 US$;10,9%;US$1.268,0 ;61,9%;290.318 US$;-
103;3M;96.163;-8 ;32.136 US$;-1,9%;US$4.570,0 ;-14,6%;44.659 US$;78.529 US$
104;Abbott Laboratories;107.000;-1 ;31.904 US$;4,3%;US$3.687,0 ;55,7%;67.887 US$;139.153 US$
105;CHS;10.703;-8 ;31.901 US$;-2,4%;US$829,9 ;7,0%;16.448 US$;-
106;Travelers;30.800;-;31.581 US$;4,3%;US$2.622,0 ;3,9%;110.122 US$;25.337 US$
107;Philip Morris International;73.500;3 ;29.805 US$;0,6%;US$7.185,0 ;-9,2%;42.875 US$;113.606 US$
108;Raytheon;70.000;6 ;29.176 US$;7,8%;US$3.343,0 ;14,9%;34.566 US$;36.518 US$
109;Hewlett Packard Enterprise;61.600;-7 ;29.135 US$;-5,6%;US$1.049,0 ;-45,0%;51.803 US$;12.510 US$
110;Arrow Electronics;19.300;-1 ;28.917 US$;-2,6%;-US$204,1 ;-128,5%;16.401 US$;4.183 US$
111;ViacomCBS;26.280;106 ;27.812 US$;91,6%;US$3.308,0 ;68,8%;49.519 US$;8.798 US$
112;Dollar General;143.000;7 ;27.754 US$;8,3%;US$1.712,6 ;7,7%;22.825 US$;38.046 US$
113;U.S. Bancorp;69.651;4 ;27.325 US$;6,0%;US$6.914,0 ;-2,6%;495.426 US$;52.408 US$
114;Starbucks;346.000;7 ;26.509 US$;7,2%;US$3.599,2 ;-20,3%;19.220 US$;77.179 US$
115;Bristol-Myers Squibb;30.000;23 ;26.145 US$;15,9%;US$3.439,0 ;-30,1%;129.944 US$;126.110 US$
116;US Foods Holding;28.000;9 ;25.939 US$;7,3%;US$385,0 ;-5,4%;11.288 US$;3.898 US$
117;Mondelez International;80.000;-1 ;25.868 US$;-0,3%;US$3.870,0 ;14,5%;64.549 US$;71.762 US$
118;Paccar;27.000;12 ;25.600 US$;9,0%;US$2.387,9 ;8,8%;28.361 US$;21.175 US$
119;Thermo Fisher Scientific;75.000;5 ;25.542 US$;4,9%;US$3.696,0 ;25,8%;58.381 US$;113.108 US$
120;Macy's;123.000;-2 ;25.331 US$;-1,6%;US$564,0 ;-49,1%;21.172 US$;1.520 US$
121;Jabil;200.000;19 ;25.282 US$;14,4%;US$287,1 ;232,6%;12.971 US$;3.738 US$
122;Kraft Heinz;37.000;-7 ;24.977 US$;-4,9%;US$1.935,0 ;-;101.450 US$;30.226 US$
123;Duke Energy;28.793;3 ;24.658 US$;2,2%;US$3.748,0 ;40,6%;158.838 US$;59.368 US$
124;Tesla;48.016;20 ;24.578 US$;14,5%;-US$862,0 ;-;34.309 US$;96.473 US$
125;PBF Energy;3.442;-12 ;24.508 US$;-9,9%;US$319,4 ;148,9%;9.132 US$;848 US$
126;Qualcomm;37.000;11 ;24.273 US$;7,4%;US$4.386,0 ;-;32.957 US$;77.327 US$
127;NGL Energy Partners;1.300;52 ;24.088 US$;39,4%;US$360,0 ;-;5.903 US$;334 US$
128;CBRE Group;100.000;18 ;23.894 US$;12,0%;US$1.282,4 ;20,6%;16.197 US$;12.625 US$
129;Baker Hughes;68.000;-;23.838 US$;4,2%;US$128,0 ;-34,4%;53.369 US$;10.827 US$
130;Synnex;240.900;28 ;23.757 US$;18,5%;US$500,7 ;66,6%;11.698 US$;3.719 US$
131;Dollar Tree;125.000;4 ;23.611 US$;3,5%;US$827,0 ;-;19.575 US$;17.399 US$
132;Cummins;61.615;-4 ;23.571 US$;-0,8%;US$2.260,0 ;5,6%;19.737 US$;20.044 US$
133;United Natural Foods;19.000;177 ;23.481 US$;129,6%;-US$285,0 ;-272,0%;7.181 US$;492 US$
134;Micron Technology;37.000;-29 ;23.406 US$;-23,0%;US$6.313,0 ;-55,3%;48.887 US$;46.779 US$
135;Amgen;23.400;-6 ;23.362 US$;-1,6%;US$7.842,0 ;-6,6%;59.707 US$;119.572 US$
136;Penske Automotive Group;26.980;-;23.179 US$;1,7%;US$435,8 ;-7,5%;13.943 US$;2.265 US$
137;Visa;19.500;16 ;22.977 US$;11,5%;US$12.080,0 ;17,3%;72.574 US$;316.199 US$
138;Broadcom;19.000;12 ;22.597 US$;8,4%;US$2.724,0 ;-77,8%;67.493 US$;94.791 US$
139;Nucor;26.800;-19 ;22.589 US$;-9,9%;US$1.271,1 ;-46,2%;18.345 US$;10.847 US$
140;Gilead Sciences;11.800;-1 ;22.449 US$;1,5%;US$5.386,0 ;-1,3%;61.627 US$;94.124 US$
141;Southwest Airlines;60.767;1 ;22.428 US$;2,1%;US$2.300,0 ;-6,7%;25.895 US$;18.421 US$
142;Halliburton;55.000;-15 ;22.408 US$;-6,6%;-US$1.131,0 ;-168,3%;25.377 US$;6.027 US$
143;CenturyLink;42.500;-11 ;22.401 US$;-4,4%;-US$5.269,0 ;-;64.742 US$;10.307 US$
144;International Paper;51.000;-11 ;22.376 US$;-4,0%;US$1.225,0 ;-39,1%;33.471 US$;12.207 US$
145;Eli Lilly;33.625;-22 ;22.320 US$;-9,1%;US$8.318,4 ;157,4%;39.286 US$;132.760 US$
146;Aflac;11.729;-3 ;22.307 US$;2,5%;US$3.304,0 ;13,2%;152.768 US$;24.739 US$
147;Lennar;10.106;7 ;22.260 US$;8,2%;US$1.849,1 ;9,0%;29.360 US$;11.591 US$
148;Occidental Petroleum;14.400;19 ;21.971 US$;16,0%;-US$667,0 ;-116,1%;109.330 US$;10.367 US$
149;Union Pacific;37.483;-15 ;21.708 US$;-4,9%;US$5.919,0 ;-0,8%;61.673 US$;97.355 US$
150;Rite Aid;42.645;-43 ;21.674 US$;-28,3%;-US$422,2 ;-144,8%;7.591 US$;822 US$
151;PNC Financial Services Group;50.968;8 ;21.624 US$;8,2%;US$5.369,0 ;1,3%;410.295 US$;41.038 US$
152;DuPont;35.000;-117 ;21.512 US$;-75,0%;US$498,0 ;-87,0%;69.396 US$;25.213 US$
153;Southern;27.943;-22 ;21.419 US$;-8,8%;US$4.739,0 ;112,9%;118.700 US$;57.076 US$
154;AutoNation;25.000;-9 ;21.336 US$;-0,4%;US$450,0 ;13,6%;10.543 US$;2.511 US$
155;DXC Technology;130.000;-33 ;21.184 US$;-13,7%;US$1.257,0 ;-28,2%;29.574 US$;3.311 US$
156;McDonald's;205.000;-7 ;21.077 US$;0,2%;US$6.025,4 ;1,7%;47.511 US$;123.260 US$
157;Marriott International;174.000;-6 ;20.972 US$;1,0%;US$1.273,0 ;-33,2%;25.051 US$;24.255 US$
158;ManpowerGroup;28.000;-17 ;20.864 US$;-5,1%;US$465,7 ;-16,3%;9.224 US$;3.109 US$
159;Bank of New York Mellon;48.400;4 ;20.822 US$;8,4%;US$4.441,0 ;4,1%;381.508 US$;29.809 US$
160;Hartford Financial Services Group;19.500;1 ;20.740 US$;4,6%;US$2.085,0 ;15,4%;70.817 US$;12.625 US$
161;Danaher;60.000;-1 ;20.521 US$;3,2%;US$3.008,2 ;13,5%;62.082 US$;96.457 US$
162;Whirlpool;77.000;-14 ;20.419 US$;-2,9%;US$1.184,0 ;-;18.881 US$;5.378 US$
163;AECOM;86.000;-6 ;20.173 US$;0,1%;-US$261,1 ;-291,3%;14.462 US$;4.735 US$
164;Netflix;8.600;33 ;20.156 US$;27,6%;US$1.866,9 ;54,1%;33.976 US$;164.772 US$
165;Kohl's;79.500;-9 ;19.974 US$;-1,3%;US$691,0 ;-13,7%;14.555 US$;2.265 US$
166;Lear;164.100;-19 ;19.810 US$;-6,3%;US$753,6 ;-34,5%;12.681 US$;4.913 US$
167;Altria Group;7.300;-5 ;19.796 US$;0,9%;-US$1.293,0 ;-118,6%;49.271 US$;71.863 US$
168;Performance Food Group;18.000;8 ;19.744 US$;12,1%;US$166,8 ;-16,1%;4.654 US$;2.897 US$
169;Avnet;15.500;-4 ;19.519 US$;2,5%;US$176,3 ;-;8.565 US$;2.506 US$
170;Synchrony Financial;16.500;3 ;19.461 US$;6,6%;US$3.747,0 ;34,3%;104.826 US$;9.871 US$
171;Genuine Parts;55.000;-2 ;19.392 US$;3,5%;US$621,1 ;-23,4%;14.646 US$;9.789 US$
172;NextEra Energy;14.800;12 ;19.204 US$;14,8%;US$3.769,0 ;-43,2%;117.691 US$;117.655 US$
173;CarMax;25.946;1 ;19.146 US$;6,5%;US$842,4 ;26,8%;18.718 US$;8.795 US$
174;Tenet Healthcare;101.104;-2 ;18.479 US$;0,9%;-US$232,0 ;-309,0%;23.351 US$;1.502 US$
175;Kimberly-Clark;40.000;-4 ;18.450 US$;-0,2%;US$2.157,0 ;53,0%;15.283 US$;43.663 US$
176;Emerson Electric;88.000;2 ;18.372 US$;5,5%;US$2.306,0 ;4,7%;20.497 US$;29.154 US$
177;WestRock;51.100;13 ;18.289 US$;12,3%;US$862,9 ;-54,7%;30.157 US$;7.304 US$
178;CDW;9.900;13 ;18.032 US$;11,0%;US$736,8 ;14,6%;7.999 US$;13.316 US$
179;Jones Lang LaSalle;93.400;10 ;17.983 US$;10,2%;US$535,3 ;10,5%;13.673 US$;5.207 US$
180;Sherwin-Williams;61.111;-3 ;17.901 US$;2,1%;US$1.541,3 ;39,0%;20.496 US$;42.186 US$
181;Fluor;53.349;-17 ;17.817 US$;-7,0%;-US$1.305,0 ;-680,4%;7.884 US$;969 US$
182;PayPal Holdings;23.200;22 ;17.772 US$;15,0%;US$2.459,0 ;19,5%;51.333 US$;112.299 US$
183;D.R. Horton;8.916;11 ;17.593 US$;9,5%;US$1.618,5 ;10,8%;15.607 US$;12.456 US$
184;HollyFrontier;4.074;-9 ;17.487 US$;-1,3%;US$772,4 ;-29,7%;12.165 US$;3.968 US$
185;Tenneco;78.000;82 ;17.450 US$;48,3%;-US$334,0 ;-707,3%;13.226 US$;292 US$
186;EOG Resources;2.900;-5 ;17.380 US$;0,6%;US$2.734,9 ;-20,0%;37.125 US$;20.907 US$
187;Becton Dickinson;70.093;8 ;17.290 US$;8,2%;US$1.233,0 ;296,5%;51.765 US$;62.308 US$
188;Lincoln National;11.357;-1 ;17.258 US$;5,1%;US$886,0 ;-46,0%;334.761 US$;5.142 US$
189;PG&E;23.000;-6 ;17.129 US$;2,2%;-US$7.656,0 ;-;85.196 US$;4.763 US$
190;salesforce.com;49.000;50 ;17.098 US$;28,7%;US$126,0 ;-88,6%;55.126 US$;128.862 US$
191;Mastercard;18.600;19 ;16.883 US$;12,9%;US$8.118,0 ;38,6%;29.236 US$;242.794 US$
192;General Mills;40.000;8 ;16.865 US$;7,1%;US$1.752,7 ;-17,8%;30.111 US$;31.986 US$
193;Molina Healthcare;10.000;-25 ;16.829 US$;-10,9%;US$737,0 ;4,2%;6.787 US$;8.501 US$
194;Cognizant Technology Solutions;292.500;-1 ;16.783 US$;4,1%;US$1.842,0 ;-12,3%;16.204 US$;25.495 US$
